group,scenario,backend,rep,op,counter,value
blob,blob/nix-closure,nix-binary-cache,0,pull_fresh,stored_bytes,109082825
blob,blob/nix-closure,nix-binary-cache,0,pull_fresh,stored_objects,17
blob,blob/nix-closure,nix-binary-cache,0,push_incremental,s3_bytes_down,2795
blob,blob/nix-closure,nix-binary-cache,0,push_incremental,s3_bytes_up,16800512
blob,blob/nix-closure,nix-binary-cache,0,push_incremental,s3_connections,3
blob,blob/nix-closure,nix-binary-cache,0,push_incremental,s3_request_body_bytes,16792790
blob,blob/nix-closure,nix-binary-cache,0,push_incremental,s3_requests_GET,3
blob,blob/nix-closure,nix-binary-cache,0,push_incremental,s3_requests_HEAD,3
blob,blob/nix-closure,nix-binary-cache,0,push_incremental,s3_requests_PUT,6
blob,blob/nix-closure,nix-binary-cache,0,push_incremental,s3_requests_total,12
blob,blob/nix-closure,nix-binary-cache,0,push_incremental,s3_response_body_bytes,849
blob,blob/nix-closure,nix-binary-cache,0,push_incremental,s3_responses_1xx,2
blob,blob/nix-closure,nix-binary-cache,0,push_incremental,s3_responses_2xx,6
blob,blob/nix-closure,nix-binary-cache,0,push_incremental,s3_responses_4xx,6
blob,blob/nix-closure,nix-binary-cache,0,push_incremental,stored_bytes,125875615
blob,blob/nix-closure,nix-binary-cache,0,push_incremental,stored_objects,23
blob,blob/nix-closure,nix-binary-cache,0,pull_incremental,delivered_logical_bytes,192939113
blob,blob/nix-closure,nix-binary-cache,0,pull_incremental,delivered_references,9
blob,blob/nix-closure,nix-binary-cache,0,pull_incremental,s3_bytes_down,16791850
blob,blob/nix-closure,nix-binary-cache,0,pull_incremental,s3_bytes_up,1905
blob,blob/nix-closure,nix-binary-cache,0,pull_incremental,s3_connections,2
blob,blob/nix-closure,nix-binary-cache,0,pull_incremental,s3_request_body_bytes,0
blob,blob/nix-closure,nix-binary-cache,0,pull_incremental,s3_requests_GET,3
blob,blob/nix-closure,nix-binary-cache,0,pull_incremental,s3_requests_total,3
blob,blob/nix-closure,nix-binary-cache,0,pull_incremental,s3_response_body_bytes,16791168
blob,blob/nix-closure,nix-binary-cache,0,pull_incremental,s3_responses_2xx,3
blob,blob/nix-closure,nix-binary-cache,0,pull_incremental,stored_bytes,125875615
blob,blob/nix-closure,nix-binary-cache,0,pull_incremental,stored_objects,23
blob,blob/nix-closure,nix-binary-cache,0,retention_cleanup,retained_logical_bytes,192939113
blob,blob/nix-closure,nix-binary-cache,0,retention_cleanup,retained_references,9
blob,blob/nix-closure,nix-binary-cache,0,retention_cleanup,s3_bytes_down,2766
blob,blob/nix-closure,nix-binary-cache,0,retention_cleanup,s3_bytes_up,5236
blob,blob/nix-closure,nix-binary-cache,0,retention_cleanup,s3_connections,2
blob,blob/nix-closure,nix-binary-cache,0,retention_cleanup,s3_request_body_bytes,360
blob,blob/nix-closure,nix-binary-cache,0,retention_cleanup,s3_requests_GET,2
blob,blob/nix-closure,nix-binary-cache,0,retention_cleanup,s3_requests_HEAD,4
blob,blob/nix-closure,nix-binary-cache,0,retention_cleanup,s3_requests_POST,2
blob,blob/nix-closure,nix-binary-cache,0,retention_cleanup,s3_requests_total,8
blob,blob/nix-closure,nix-binary-cache,0,retention_cleanup,s3_response_body_bytes,1432
blob,blob/nix-closure,nix-binary-cache,0,retention_cleanup,s3_responses_2xx,6
blob,blob/nix-closure,nix-binary-cache,0,retention_cleanup,s3_responses_4xx,2
blob,blob/nix-closure,nix-binary-cache,0,retention_cleanup,stored_bytes,125874489
blob,blob/nix-closure,nix-binary-cache,0,retention_cleanup,stored_objects,21
git,git/history,amber-rust,0,history_store,backend_commands,39
git,git/history,amber-rust,0,history_store,commits,39
git,git/history,amber-rust,0,history_store,store_closures_allocated_bytes,4096
git,git/history,amber-rust,0,history_store,store_closures_apparent_bytes,0
git,git/history,amber-rust,0,history_store,store_packstore_allocated_bytes,116035584
git,git/history,amber-rust,0,history_store,store_packstore_apparent_bytes,116018470
git,git/history,amber-rust,0,history_store,store_refs_allocated_bytes,1634304
git,git/history,amber-rust,0,history_store,store_refs_apparent_bytes,3686400
git,git/history,amber-rust,0,history_store_incremental,backend_commands,13
git,git/history,amber-rust,0,history_store_incremental,commits,13
git,git/history,amber-rust,0,history_store_incremental,store_closures_allocated_bytes,4096
git,git/history,amber-rust,0,history_store_incremental,store_closures_apparent_bytes,0
git,git/history,amber-rust,0,history_store_incremental,store_packstore_allocated_bytes,116858880
git,git/history,amber-rust,0,history_store_incremental,store_packstore_apparent_bytes,116840614
git,git/history,amber-rust,0,history_store_incremental,store_refs_allocated_bytes,1642496
git,git/history,amber-rust,0,history_store_incremental,store_refs_apparent_bytes,3686400
git,git/history,amber-rust,0,list_head,cli_invocations,29
git,git/history,amber-rust,0,list_head,entries,1952
git,git/history,amber-rust,0,retained_version_coverage,versions_retained,52
git,git/history,amber-rust,0,retained_version_coverage,versions_unverified,0
git,git/history,amber-rust,0,retained_version_coverage,versions_verified,52
tree,tree/lifecycle,git,0,ingest_fresh,store_refs_allocated_bytes,16384
tree,tree/lifecycle,git,0,ingest_fresh,store_refs_apparent_bytes,41
tree,tree/lifecycle,git,0,ingest_repeat,store_refs_allocated_bytes,20480
tree,tree/lifecycle,git,0,ingest_repeat,store_refs_apparent_bytes,82
tree,tree/lifecycle,git,0,ingest_changed,store_refs_allocated_bytes,24576
tree,tree/lifecycle,git,0,ingest_changed,store_refs_apparent_bytes,123
tree,tree/lifecycle,git,0,ref_delete,store_refs_allocated_bytes,16384
tree,tree/lifecycle,git,0,ref_delete,store_refs_apparent_bytes,41
tree,tree/lifecycle,git,0,gc,allocated_after_gc,722554880
tree,tree/lifecycle,git,0,gc,allocated_before_delete,1383505920
tree,tree/lifecycle,git,0,gc,allocated_before_gc,1383489536
tree,tree/lifecycle,git,0,gc,store_refs_allocated_bytes,12288
tree,tree/lifecycle,git,0,gc,store_refs_apparent_bytes,0
nix,nix/closure,nix,0,gc,allocated_before_delete,277172224
