core,group,op,workload,threads,rep,ops,bytes,bytes_kind,wall_ns,ns_per_op,cpu_user_ns,cpu_sys_ns,max_rss_kib,checksum,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
go,fstree,fstree.check_complete,width-256/jobs-1,1,0,259,0,,197487,762.4980694980695,214000,0,637140,10166096353870829249,,,structured,256,,256,wide,,259,1,width,plain
go,fstree,fstree.check_complete,width-40000/jobs-1,1,0,40257,0,,29829904,740.9867600665723,27813000,3179000,637140,8781341933545400491,,,structured,40000,,40000,wide,,40257,1,width,plain
go,fstree,fstree.check_complete,width-4096/jobs-1,1,0,4122,0,,2732389,662.8794274623968,2856000,0,637140,2551262535976545999,,,structured,4096,,4096,wide,,4122,1,width,plain
go,fstree,fstree.child_keys,dir-leaf-128,1,0,64,0,,3033505,47398.515625,3032000,0,637140,9537427053040457253,,64,structured,128,,,,,,1,,
go,fstree,fstree.child_keys,dir-node-128,1,0,64,0,,1378103,21532.859375,1409000,121000,637140,1477312231372574501,,64,structured,128,,,,,,1,,
go,fstree,fstree.child_keys,file-node-1024,1,0,64,0,,5505066,86016.65625,5501000,0,637140,7701241629847960229,,64,structured,1024,,,,,,1,,
go,fstree,fstree.collect_entries,width-16,1,0,16,0,,10871,679.4375,14000,0,637140,8341622732183221560,,,structured,16,1,16,wide,,17,1,width,plain
go,fstree,fstree.collect_entries,width-256,1,0,256,0,,100372,392.078125,80000,23000,637140,5488379839664258588,,,structured,256,1,256,wide,,259,1,width,plain
go,fstree,fstree.collect_entries,width-40000,1,0,40000,0,,25326631,633.165775,17429000,7822000,637140,14993720166178614202,,,structured,40000,1,40000,wide,,40257,1,width,plain
go,fstree,fstree.collect_entries,width-4096,1,0,4096,0,,1505035,367.440185546875,1394000,112000,637140,13256494381648301123,,,structured,4096,1,4096,wide,,4122,1,width,plain
go,fstree,fstree.decode_dir_leaf,entries-1024,1,0,65536,4849856,encoded,23970249,365.75697326660156,22892000,1908000,637140,4752332038147119141,75779,64,structured,1024,,,leaf,,,1,entries,plain
go,fstree,fstree.decode_dir_leaf,entries-128,1,0,8192,606336,encoded,2960876,361.43505859375,2957000,0,637140,13453085420543655461,9474,64,structured,128,,,leaf,,,1,entries,plain
go,fstree,fstree.decode_dir_leaf,entries-128-partial-change,1,0,8192,680064,encoded,3140459,383.3568115234375,2712000,931000,637140,868920460316997157,10626,64,partial-change,128,,,leaf,,,1,entries,partial-change
go,fstree,fstree.decode_dir_leaf,entries-128-with-xattrs,1,0,8192,680064,encoded,3027664,369.587890625,3021000,0,637140,13453085420543655461,10626,64,structured,128,,,leaf,,,1,entries,with-xattrs
go,fstree,fstree.decode_dir_leaf,entries-8,1,0,512,37952,encoded,192298,375.58203125,195000,0,637140,13863560569644134693,593,64,structured,8,,,leaf,,,1,entries,plain
go,fstree,fstree.decode_dir_node,pairs-1024,1,0,65536,3276992,encoded,11497002,175.43032836914062,11945000,0,637140,11961031557855502117,51203,64,structured,1024,,,index,,,1,entries,plain
go,fstree,fstree.decode_dir_node,pairs-128,1,0,8192,409728,encoded,1376289,168.0040283203125,1382000,0,637140,9182210741442831141,6402,64,structured,128,,,index,,,1,entries,plain
go,fstree,fstree.decode_dir_node,pairs-8,1,0,512,25664,encoded,96845,189.150390625,100000,0,637140,8467071135069708069,401,64,structured,8,,,index,,,1,entries,plain
go,fstree,fstree.decode_file_node,children-1024,1,0,65536,2228416,encoded,5652087,86.24400329589844,5638000,0,637140,7701241629847960229,34819,64,structured,1024,,,file-index,,,1,entries,plain
go,fstree,fstree.decode_file_node,children-128,1,0,8192,278656,encoded,727028,88.74853515625,734000,0,637140,934824099510310693,4354,64,structured,128,,,file-index,,,1,entries,plain
go,fstree,fstree.decode_file_node,children-65536,1,0,4194304,142606656,encoded,419163399,99.9363420009613,386119000,38680000,637140,3370106694439645093,2228229,64,structured,65536,,,file-index,,,1,entries,plain
go,fstree,fstree.decode_file_node,children-8,1,0,512,17472,encoded,56619,110.583984375,48000,12000,637140,6032738727359362853,273,64,structured,8,,,file-index,,,1,entries,plain
go,fstree,fstree.dir_builder,entries-16,1,0,16,0,,36219,2263.6875,42000,0,637140,17327107032425722273,,,structured,16,1,16,wide,,,1,entries,plain
go,fstree,fstree.dir_builder,entries-256,1,0,256,0,,151620,592.265625,0,151000,637140,6965094703770672903,,,structured,256,1,256,wide,,,1,entries,plain
