core,group,op,workload,threads,n,ops_per_call,bytes_per_call,bytes_kind,ns_per_op_min,ns_per_op_p25,ns_per_op_median,ns_per_op_p75,ns_per_op_max,ns_per_op_mad,variation,cpu_ns_per_op_median,ops_per_s_median,bytes_per_s_median,entries_per_s_median,objects_per_s_median,max_rss_kib_max,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
go,fstree,fstree.check_complete,width-4096/jobs-1,1,1,4122,0,,662.8794274623968,662.8794274623968,662.8794274623968,662.8794274623968,662.8794274623968,0.0,0.0,692.8675400291121,1508569.9730162872,,,1508569.9730162872,637140.0,,,structured,4096,,4096,wide,,4122,1,width,plain
go,fstree,fstree.child_keys,dir-leaf-128,1,1,64,0,,47398.515625,47398.515625,47398.515625,47398.515625,47398.515625,0.0,0.0,47375.0,21097.70710778456,,,,637140.0,,64,structured,128,,,,,,1,,
go,fstree,fstree.child_keys,dir-node-128,1,1,64,0,,21532.859375,21532.859375,21532.859375,21532.859375,21532.859375,0.0,0.0,23906.25,46440.650662541186,,,,637140.0,,64,structured,128,,,,,,1,,
go,fstree,fstree.child_keys,file-node-1024,1,1,64,0,,86016.65625,86016.65625,86016.65625,86016.65625,86016.65625,0.0,0.0,85953.125,11625.655350907691,,,,637140.0,,64,structured,1024,,,,,,1,,
go,fstree,fstree.collect_entries,width-16,1,1,16,0,,679.4375,679.4375,679.4375,679.4375,679.4375,0.0,0.0,875.0,1471805.7216447429,,1471805.7216447429,,637140.0,,,structured,16,1,16,wide,,17,1,width,plain
go,fstree,fstree.collect_entries,width-256,1,1,256,0,,392.078125,392.078125,392.078125,392.078125,392.078125,0.0,0.0,402.34375,2550512.0950065753,,2550512.0950065753,,637140.0,,,structured,256,1,256,wide,,259,1,width,plain
go,fstree,fstree.collect_entries,width-40000,1,1,40000,0,,633.165775,633.165775,633.165775,633.165775,633.165775,0.0,0.0,631.275,1579365.2144258744,,1579365.2144258744,,637140.0,,,structured,40000,1,40000,wide,,40257,1,width,plain
go,fstree,fstree.collect_entries,width-4096,1,1,4096,0,,367.440185546875,367.440185546875,367.440185546875,367.440185546875,367.440185546875,0.0,0.0,367.67578125,2721531.392957639,,2721531.392957639,,637140.0,,,structured,4096,1,4096,wide,,4122,1,width,plain
go,fstree,fstree.decode_dir_leaf,entries-1024,1,1,65536,4849856,encoded,365.75697326660156,365.75697326660156,365.75697326660156,365.75697326660156,365.75697326660156,0.0,0.0,378.41796875,2734055.8706753524,202328144.3592847,2734055.8706753524,,637140.0,75779,64,structured,1024,,,leaf,,,1,entries,plain
go,fstree,fstree.decode_dir_leaf,entries-128,1,1,8192,606336,encoded,361.43505859375,361.43505859375,361.43505859375,361.43505859375,361.43505859375,0.0,0.0,360.9619140625,2766748.759488746,204782638.6515342,2766748.759488746,,637140.0,9474,64,structured,128,,,leaf,,,1,entries,plain
