core,op,workload,rep,name,value
go,amberpack.parse_record,mixed-records/producer-rust,2,go.mallocs,0
go,amberpack.parse_record,mixed-records/producer-rust,3,go.heap_alloc_bytes,0
go,amberpack.parse_record,mixed-records/producer-rust,3,go.mallocs,0
go,amberpack.reader_all,mixed-objects/producer-go,0,go.heap_alloc_bytes,28134776
go,amberpack.reader_all,mixed-objects/producer-go,0,go.mallocs,1511
go,amberpack.reader_all,mixed-objects/producer-go,1,go.heap_alloc_bytes,28134776
go,amberpack.reader_all,mixed-objects/producer-go,1,go.mallocs,1511
go,amberpack.reader_all,mixed-objects/producer-go,2,go.heap_alloc_bytes,28134776
go,amberpack.reader_all,mixed-objects/producer-go,2,go.mallocs,1511
go,amberpack.reader_all,mixed-objects/producer-go,3,go.heap_alloc_bytes,28134776
go,amberpack.reader_all,mixed-objects/producer-go,3,go.mallocs,1511
go,amberpack.reader_all,mixed-objects/producer-rust,0,go.heap_alloc_bytes,28139160
go,amberpack.reader_all,mixed-objects/producer-rust,0,go.mallocs,1516
go,amberpack.reader_all,mixed-objects/producer-rust,1,go.heap_alloc_bytes,28137112
go,amberpack.reader_all,mixed-objects/producer-rust,1,go.mallocs,1514
go,amberpack.reader_all,mixed-objects/producer-rust,2,go.heap_alloc_bytes,28139160
go,amberpack.reader_all,mixed-objects/producer-rust,2,go.mallocs,1516
go,amberpack.reader_all,mixed-objects/producer-rust,3,go.heap_alloc_bytes,28139160
go,amberpack.reader_all,mixed-objects/producer-rust,3,go.mallocs,1516
go,amberpack.reader_all,truncated-stream/producer-go,0,go.heap_alloc_bytes,898325248
go,amberpack.reader_all,truncated-stream/producer-go,0,go.mallocs,48604
go,amberpack.reader_all,truncated-stream/producer-go,1,go.heap_alloc_bytes,898325424
go,amberpack.reader_all,truncated-stream/producer-go,1,go.mallocs,48606
go,amberpack.reader_all,truncated-stream/producer-go,2,go.heap_alloc_bytes,898330800
go,amberpack.reader_all,truncated-stream/producer-go,2,go.mallocs,48607
go,amberpack.reader_all,truncated-stream/producer-go,3,go.heap_alloc_bytes,898325424
go,amberpack.reader_all,truncated-stream/producer-go,3,go.mallocs,48606
go,amberpack.reader_all,truncated-stream/producer-rust,0,go.heap_alloc_bytes,898344832
go,amberpack.reader_all,truncated-stream/producer-rust,0,go.mallocs,48624
go,amberpack.reader_all,truncated-stream/producer-rust,1,go.heap_alloc_bytes,898338240
go,amberpack.reader_all,truncated-stream/producer-rust,1,go.mallocs,48613
go,amberpack.reader_all,truncated-stream/producer-rust,2,go.heap_alloc_bytes,898349360
go,amberpack.reader_all,truncated-stream/producer-rust,2,go.mallocs,48626
go,amberpack.reader_all,truncated-stream/producer-rust,3,go.heap_alloc_bytes,898342960
go,amberpack.reader_all,truncated-stream/producer-rust,3,go.mallocs,48624
go,amberpack.reader_records,mixed-objects/producer-go,0,go.heap_alloc_bytes,11172256
go,amberpack.reader_records,mixed-objects/producer-go,0,go.mallocs,1004
go,amberpack.reader_records,mixed-objects/producer-go,1,go.heap_alloc_bytes,11172256
go,amberpack.reader_records,mixed-objects/producer-go,1,go.mallocs,1004
go,amberpack.reader_records,mixed-objects/producer-go,2,go.heap_alloc_bytes,11172256
go,amberpack.reader_records,mixed-objects/producer-go,2,go.mallocs,1004
go,amberpack.reader_records,mixed-objects/producer-go,3,go.heap_alloc_bytes,11172256
go,amberpack.reader_records,mixed-objects/producer-go,3,go.mallocs,1004
go,amberpack.reader_records,mixed-objects/producer-rust,0,go.heap_alloc_bytes,11172256
go,amberpack.reader_records,mixed-objects/producer-rust,0,go.mallocs,1004
go,amberpack.reader_records,mixed-objects/producer-rust,1,go.heap_alloc_bytes,11172256
go,amberpack.reader_records,mixed-objects/producer-rust,1,go.mallocs,1004
go,amberpack.reader_records,mixed-objects/producer-rust,2,go.heap_alloc_bytes,11172256
go,amberpack.reader_records,mixed-objects/producer-rust,2,go.mallocs,1004
go,amberpack.reader_records,mixed-objects/producer-rust,3,go.heap_alloc_bytes,11172256
go,amberpack.reader_records,mixed-objects/producer-rust,3,go.mallocs,1004
go,amberpack.writer_add,mixed-objects,0,go.heap_alloc_bytes,39484112
go,amberpack.writer_add,mixed-objects,0,go.mallocs,1252
go,amberpack.writer_add,mixed-objects,1,go.heap_alloc_bytes,39484112
go,amberpack.writer_add,mixed-objects,1,go.mallocs,1252
go,amberpack.writer_add,mixed-objects,2,go.heap_alloc_bytes,39484112
go,amberpack.writer_add,mixed-objects,2,go.mallocs,1252
go,amberpack.writer_add,mixed-objects,3,go.heap_alloc_bytes,39484112
go,amberpack.writer_add,mixed-objects,3,go.mallocs,1252
go,amberpack.writer_add_record,pre-encoded-records/producer-go,0,go.heap_alloc_bytes,4112
go,amberpack.writer_add_record,pre-encoded-records/producer-go,0,go.mallocs,2
go,amberpack.writer_add_record,pre-encoded-records/producer-go,1,go.heap_alloc_bytes,4112
go,amberpack.writer_add_record,pre-encoded-records/producer-go,1,go.mallocs,2
go,amberpack.writer_add_record,pre-encoded-records/producer-go,2,go.heap_alloc_bytes,4112
go,amberpack.writer_add_record,pre-encoded-records/producer-go,2,go.mallocs,2
go,amberpack.writer_add_record,pre-encoded-records/producer-go,3,go.heap_alloc_bytes,4112
go,amberpack.writer_add_record,pre-encoded-records/producer-go,3,go.mallocs,2
go,amberpack.writer_add_record,pre-encoded-records/producer-rust,0,go.heap_alloc_bytes,4112
go,amberpack.writer_add_record,pre-encoded-records/producer-rust,0,go.mallocs,2
go,amberpack.writer_add_record,pre-encoded-records/producer-rust,1,go.heap_alloc_bytes,4112
go,amberpack.writer_add_record,pre-encoded-records/producer-rust,1,go.mallocs,2
go,amberpack.writer_add_record,pre-encoded-records/producer-rust,2,go.heap_alloc_bytes,4112
go,amberpack.writer_add_record,pre-encoded-records/producer-rust,2,go.mallocs,2
go,amberpack.writer_add_record,pre-encoded-records/producer-rust,3,go.heap_alloc_bytes,4112
go,amberpack.writer_add_record,pre-encoded-records/producer-rust,3,go.mallocs,2
go,cbor.decode_xattrs,xattrs-3,0,go.heap_alloc_bytes,36352
go,cbor.decode_xattrs,xattrs-3,0,go.mallocs,768
go,cbor.decode_xattrs,xattrs-3,1,go.heap_alloc_bytes,36352
go,cbor.decode_xattrs,xattrs-3,1,go.mallocs,768
go,cbor.decode_xattrs,xattrs-3,2,go.heap_alloc_bytes,36352
go,cbor.decode_xattrs,xattrs-3,2,go.mallocs,768
go,cbor.decode_xattrs,xattrs-3,3,go.heap_alloc_bytes,36352
go,cbor.decode_xattrs,xattrs-3,3,go.mallocs,768
go,cbor.decode_xattrs,xattrs-64,0,go.heap_alloc_bytes,816640
go,cbor.decode_xattrs,xattrs-64,0,go.mallocs,12608
go,cbor.decode_xattrs,xattrs-64,1,go.heap_alloc_bytes,816640
go,cbor.decode_xattrs,xattrs-64,1,go.mallocs,12608
go,cbor.decode_xattrs,xattrs-64,2,go.heap_alloc_bytes,816640
go,cbor.decode_xattrs,xattrs-64,2,go.mallocs,12608
go,cbor.decode_xattrs,xattrs-64,3,go.heap_alloc_bytes,816640
go,cbor.decode_xattrs,xattrs-64,3,go.mallocs,12608
go,cbor.encode_xattrs,xattrs-3,0,go.heap_alloc_bytes,26048
go,cbor.encode_xattrs,xattrs-3,0,go.mallocs,1168
go,cbor.encode_xattrs,xattrs-3,1,go.heap_alloc_bytes,26336
go,cbor.encode_xattrs,xattrs-3,1,go.mallocs,1192
go,cbor.encode_xattrs,xattrs-3,2,go.heap_alloc_bytes,26240
go,cbor.encode_xattrs,xattrs-3,2,go.mallocs,1184
go,cbor.encode_xattrs,xattrs-3,3,go.heap_alloc_bytes,26384
go,cbor.encode_xattrs,xattrs-3,3,go.mallocs,1196
go,cbor.encode_xattrs,xattrs-64,0,go.heap_alloc_bytes,2816576
go,cbor.encode_xattrs,xattrs-64,0,go.mallocs,97604
go,cbor.encode_xattrs,xattrs-64,1,go.heap_alloc_bytes,2814912
go,cbor.encode_xattrs,xattrs-64,1,go.mallocs,97500
go,cbor.encode_xattrs,xattrs-64,2,go.heap_alloc_bytes,2804416
go,cbor.encode_xattrs,xattrs-64,2,go.mallocs,96844
go,cbor.encode_xattrs,xattrs-64,3,go.heap_alloc_bytes,2813312
go,cbor.encode_xattrs,xattrs-64,3,go.mallocs,97400
go,chunkers.item_chunker,is_boundary/bits-7,0,go.heap_alloc_bytes,0
go,chunkers.item_chunker,is_boundary/bits-7,0,go.mallocs,0
go,chunkers.item_chunker,is_boundary/bits-7,1,go.heap_alloc_bytes,0
go,chunkers.item_chunker,is_boundary/bits-7,1,go.mallocs,0
go,chunkers.item_chunker,is_boundary/bits-7,2,go.heap_alloc_bytes,0
go,chunkers.item_chunker,is_boundary/bits-7,2,go.mallocs,0
go,chunkers.item_chunker,is_boundary/bits-7,3,go.heap_alloc_bytes,0
go,chunkers.item_chunker,is_boundary/bits-7,3,go.mallocs,0
go,chunkers.new_item_chunker,bits-4..12,0,go.heap_alloc_bytes,0
go,chunkers.new_item_chunker,bits-4..12,0,go.mallocs,0
go,chunkers.new_item_chunker,bits-4..12,1,go.heap_alloc_bytes,0
go,chunkers.new_item_chunker,bits-4..12,1,go.mallocs,0
go,chunkers.new_item_chunker,bits-4..12,2,go.heap_alloc_bytes,0
go,chunkers.new_item_chunker,bits-4..12,2,go.mallocs,0
go,chunkers.new_item_chunker,bits-4..12,3,go.heap_alloc_bytes,0
go,chunkers.new_item_chunker,bits-4..12,3,go.mallocs,0
go,chunkers.split_bytes,compressible/4-16-64KiB,0,go.heap_alloc_bytes,67240224
go,chunkers.split_bytes,compressible/4-16-64KiB,0,go.mallocs,1030
go,chunkers.split_bytes,compressible/4-16-64KiB,1,go.heap_alloc_bytes,67240224
go,chunkers.split_bytes,compressible/4-16-64KiB,1,go.mallocs,1030
go,chunkers.split_bytes,compressible/4-16-64KiB,2,go.heap_alloc_bytes,67240224
go,chunkers.split_bytes,compressible/4-16-64KiB,2,go.mallocs,1030
go,chunkers.split_bytes,compressible/4-16-64KiB,3,go.heap_alloc_bytes,67240224
go,chunkers.split_bytes,compressible/4-16-64KiB,3,go.mallocs,1030
go,chunkers.split_bytes,compressible/default-sizes,0,go.heap_alloc_bytes,69206304
go,chunkers.split_bytes,compressible/default-sizes,0,go.mallocs,70
go,chunkers.split_bytes,compressible/default-sizes,1,go.heap_alloc_bytes,69206304
go,chunkers.split_bytes,compressible/default-sizes,1,go.mallocs,70
go,chunkers.split_bytes,compressible/default-sizes,2,go.heap_alloc_bytes,69206304
go,chunkers.split_bytes,compressible/default-sizes,2,go.mallocs,70
go,chunkers.split_bytes,compressible/default-sizes,3,go.heap_alloc_bytes,69206304
go,chunkers.split_bytes,compressible/default-sizes,3,go.mallocs,70
go,chunkers.split_bytes,random/default-sizes,0,go.heap_alloc_bytes,72802592
go,chunkers.split_bytes,random/default-sizes,0,go.mallocs,887
go,chunkers.split_bytes,random/default-sizes,1,go.heap_alloc_bytes,72802592
go,chunkers.split_bytes,random/default-sizes,1,go.mallocs,887
go,chunkers.split_bytes,random/default-sizes,2,go.heap_alloc_bytes,72802592
go,chunkers.split_bytes,random/default-sizes,2,go.mallocs,887
go,chunkers.split_bytes,random/default-sizes,3,go.heap_alloc_bytes,72802592
go,chunkers.split_bytes,random/default-sizes,3,go.mallocs,887
go,chunkers.split_bytes,tiny-64KiB/default-sizes,0,go.heap_alloc_bytes,2162976
go,chunkers.split_bytes,tiny-64KiB/default-sizes,0,go.mallocs,7
go,chunkers.split_bytes,tiny-64KiB/default-sizes,1,go.heap_alloc_bytes,2162976
go,chunkers.split_bytes,tiny-64KiB/default-sizes,1,go.mallocs,7
go,chunkers.split_bytes,tiny-64KiB/default-sizes,2,go.heap_alloc_bytes,2162976
go,chunkers.split_bytes,tiny-64KiB/default-sizes,2,go.mallocs,7
go,chunkers.split_bytes,tiny-64KiB/default-sizes,3,go.heap_alloc_bytes,2162976
go,chunkers.split_bytes,tiny-64KiB/default-sizes,3,go.mallocs,7
go,fstree.check_complete,incomplete/jobs-1,0,go.heap_alloc_bytes,12496
go,fstree.check_complete,incomplete/jobs-1,0,go.mallocs,98
go,fstree.check_complete,incomplete/jobs-1,1,go.heap_alloc_bytes,12496
go,fstree.check_complete,incomplete/jobs-1,1,go.mallocs,98
go,fstree.check_complete,incomplete/jobs-1,2,go.heap_alloc_bytes,12496
go,fstree.check_complete,incomplete/jobs-1,2,go.mallocs,98
go,fstree.check_complete,incomplete/jobs-1,3,go.heap_alloc_bytes,12496
go,fstree.check_complete,incomplete/jobs-1,3,go.mallocs,98
go,fstree.check_complete,widest/jobs-1,0,go.heap_alloc_bytes,36575656
go,fstree.check_complete,widest/jobs-1,0,go.mallocs,164019
go,fstree.check_complete,widest/jobs-1,1,go.heap_alloc_bytes,36575656
go,fstree.check_complete,widest/jobs-1,1,go.mallocs,164019
go,fstree.check_complete,widest/jobs-1,2,go.heap_alloc_bytes,36575656
go,fstree.check_complete,widest/jobs-1,2,go.mallocs,164019
go,fstree.check_complete,widest/jobs-1,3,go.heap_alloc_bytes,36575656
go,fstree.check_complete,widest/jobs-1,3,go.mallocs,164019
go,fstree.check_complete,widest/jobs-N,0,go.heap_alloc_bytes,36575656
go,fstree.check_complete,widest/jobs-N,0,go.mallocs,164019
go,fstree.check_complete,widest/jobs-N,1,go.heap_alloc_bytes,36575656
go,fstree.check_complete,widest/jobs-N,1,go.mallocs,164019
go,fstree.check_complete,widest/jobs-N,2,go.heap_alloc_bytes,36575656
go,fstree.check_complete,widest/jobs-N,2,go.mallocs,164019
go,fstree.check_complete,widest/jobs-N,3,go.heap_alloc_bytes,36575656
go,fstree.check_complete,widest/jobs-N,3,go.mallocs,164019
go,fstree.check_complete,width-16/jobs-1,0,go.heap_alloc_bytes,12456
go,fstree.check_complete,width-16/jobs-1,0,go.mallocs,96
go,fstree.check_complete,width-16/jobs-1,1,go.heap_alloc_bytes,12456
go,fstree.check_complete,width-16/jobs-1,1,go.mallocs,96
go,fstree.check_complete,width-16/jobs-1,2,go.heap_alloc_bytes,12456
go,fstree.check_complete,width-16/jobs-1,2,go.mallocs,96
go,fstree.check_complete,width-16/jobs-1,3,go.heap_alloc_bytes,12456
go,fstree.check_complete,width-16/jobs-1,3,go.mallocs,96
go,fstree.check_complete,width-256/jobs-1,0,go.heap_alloc_bytes,207224
go,fstree.check_complete,width-256/jobs-1,0,go.mallocs,1103
go,fstree.check_complete,width-256/jobs-1,1,go.heap_alloc_bytes,207224
go,fstree.check_complete,width-256/jobs-1,1,go.mallocs,1103
go,fstree.check_complete,width-256/jobs-1,2,go.heap_alloc_bytes,207224
go,fstree.check_complete,width-256/jobs-1,2,go.mallocs,1103
go,fstree.check_complete,width-256/jobs-1,3,go.heap_alloc_bytes,207224
go,fstree.check_complete,width-256/jobs-1,3,go.mallocs,1103
go,fstree.check_complete,width-40000/jobs-1,0,go.heap_alloc_bytes,36575656
