core,group,op,workload,threads,rep,ops,bytes,bytes_kind,wall_ns,ns_per_op,cpu_user_ns,cpu_sys_ns,max_rss_kib,checksum,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
go,amberpack,amberpack.encode_record,tiny-64B-random,1,3,16384,1048576,payload,8961238,546.9505615234375,8925000,0,1813432,13667126546932280967,64,16384,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,tiny-64B-text,1,0,16384,1048576,payload,18536369,1131.3701782226562,18467000,0,1813432,15004358341227962651,64,16384,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,tiny-64B-text,1,1,16384,1048576,payload,18596795,1135.0582885742188,18538000,0,1813432,15004358341227962651,64,16384,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,tiny-64B-text,1,2,16384,1048576,payload,18467177,1127.1470336914062,18429000,0,1813432,15004358341227962651,64,16384,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,tiny-64B-text,1,3,16384,1048576,payload,18482566,1128.0863037109375,18427000,0,1813432,15004358341227962651,64,16384,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.parse_record,corrupt-crc/producer-go,1,0,256,0,,36260,141.640625,44000,0,1813432,17539378016686813989,,256,structured,,,,,,,1,,
go,amberpack,amberpack.parse_record,corrupt-crc/producer-go,1,1,256,0,,32452,126.765625,41000,0,1813432,17539378016686813989,,256,structured,,,,,,,1,,
go,amberpack,amberpack.parse_record,corrupt-crc/producer-go,1,2,256,0,,32322,126.2578125,33000,5000,1813432,17539378016686813989,,256,structured,,,,,,,1,,
go,amberpack,amberpack.parse_record,corrupt-crc/producer-go,1,3,256,0,,31049,121.28515625,38000,0,1813432,17539378016686813989,,256,structured,,,,,,,1,,
go,amberpack,amberpack.parse_record,corrupt-crc/producer-rust,1,0,256,0,,32472,126.84375,37000,0,1813432,17539378016686813989,,256,structured,,,,,,,1,,
go,amberpack,amberpack.parse_record,corrupt-crc/producer-rust,1,1,256,0,,33324,130.171875,41000,0,1813432,17539378016686813989,,256,structured,,,,,,,1,,
go,amberpack,amberpack.parse_record,corrupt-crc/producer-rust,1,2,256,0,,33083,129.23046875,33000,5000,1813432,17539378016686813989,,256,structured,,,,,,,1,,
go,amberpack,amberpack.parse_record,corrupt-crc/producer-rust,1,3,256,0,,32482,126.8828125,35000,0,1813432,17539378016686813989,,256,structured,,,,,,,1,,
go,amberpack,amberpack.parse_record,mixed-records/producer-go,1,0,500,10070344,encoded,366190,732.38,328000,47000,1813432,7325024220447414200,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.parse_record,mixed-records/producer-go,1,1,500,10070344,encoded,356431,712.862,362000,0,1813432,7325024220447414200,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.parse_record,mixed-records/producer-go,1,2,500,10070344,encoded,371780,743.56,369000,0,1813432,7325024220447414200,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.parse_record,mixed-records/producer-go,1,3,500,10070344,encoded,358716,717.432,362000,0,1813432,7325024220447414200,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.parse_record,mixed-records/producer-rust,1,0,500,10053753,encoded,370237,740.474,355000,19000,1813432,15082506208932262024,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.parse_record,mixed-records/producer-rust,1,1,500,10053753,encoded,357132,714.264,361000,0,1813432,15082506208932262024,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.parse_record,mixed-records/producer-rust,1,2,500,10053753,encoded,355199,710.398,314000,45000,1813432,15082506208932262024,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.parse_record,mixed-records/producer-rust,1,3,500,10053753,encoded,373283,746.566,375000,0,1813432,15082506208932262024,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_all,mixed-objects/producer-go,1,0,500,10070344,encoded,8874843,17749.686,8846000,0,1813432,8309917618078602499,,500,structured,,,,,,500,1,,
