op,dimension,series,value,workload,go_ns_per_op,rust_ns_per_op,ratio_go_over_rust,go_ns_per_unit,rust_ns_per_unit
fstree.check_complete,width,plain,4096,width-4096/jobs-1,661.9437166424066,276.2117903930131,2.396507823581852,666.1455078125,277.965087890625
fstree.check_complete,width,plain,40000,width-40000/jobs-1,670.7460069056314,273.36021064659565,2.4537075286819348,675.05555,275.1165500000001
fstree.collect_entries,width,plain,16,width-16,677.5,242.3125,2.795976270312097,677.5,242.3125
fstree.collect_entries,width,plain,256,width-256,378.96484375,219.7578125,1.724465853745245,378.96484375,219.7578125
fstree.collect_entries,width,plain,4096,width-4096,365.48095703125,223.830810546875,1.6328447193587337,365.48095703125,223.830810546875
fstree.collect_entries,width,plain,40000,width-40000,397.111075,221.3363,1.7941524955463701,397.111075,221.3363
fstree.decode_dir_leaf,entries,plain,8,entries-8,374.330078125,215.41015625,1.7377550095203553,374.330078125,215.41015625
fstree.decode_dir_leaf,entries,plain,128,entries-128,356.189453125,212.7586669921875,1.674147794590569,356.189453125,212.7586669921875
fstree.decode_dir_leaf,entries,plain,1024,entries-1024,350.7823791503906,215.408447265625,1.6284522896069762,350.7823791503906,215.408447265625
fstree.decode_dir_node,entries,plain,8,pairs-8,187.60546875,85.88671875,2.1843361986628462,187.60546875,85.88671875
fstree.decode_dir_node,entries,plain,128,pairs-128,167.4952392578125,96.3045654296875,1.739224288178754,167.4952392578125,96.3045654296875
fstree.decode_dir_node,entries,plain,1024,pairs-1024,169.32705688476562,99.527587890625,1.7013077526890952,169.32705688476562,99.527587890625
fstree.decode_file_node,entries,plain,8,children-8,110.54296875,63.109375,1.7516093092349592,110.54296875,63.109375
fstree.decode_file_node,entries,plain,128,children-128,87.41552734375,62.98779296875,1.3878169598213939,87.41552734375,62.98779296875
fstree.decode_file_node,entries,plain,1024,children-1024,86.02232360839844,69.02116394042969,1.2463180667692304,86.02232360839844,69.02116394042969
fstree.decode_file_node,entries,plain,65536,children-65536,89.04858088493347,69.81736421585083,1.2754503393973233,89.04858088493347,69.81736421585083
