core,group,op,workload,threads,n,ops_per_call,bytes_per_call,bytes_kind,ns_per_op_min,ns_per_op_p25,ns_per_op_median,ns_per_op_p75,ns_per_op_max,ns_per_op_mad,variation,cpu_ns_per_op_median,ops_per_s_median,bytes_per_s_median,entries_per_s_median,objects_per_s_median,max_rss_kib_max,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
go,cbor,cbor.decode_xattrs,xattrs-64,1,7,64,282752,encoded,8824.046875,8830.3046875,8915.3125,9016.6015625,9164.859375,87.984375,0.009868905324406744,8937.5,112166.56735251848,495551894.5634267,,,1813432.0,4418,64,structured,64,,,,,,1,,
go,cbor,cbor.encode_xattrs,xattrs-3,1,7,64,4544,encoded,401.390625,437.5546875,444.28125,452.3515625,455.5625,9.71875,0.021875219807272982,500.0,2250826.4753464162,159808679.74959555,,,1813432.0,71,64,structured,3,,,,,,1,,
go,cbor,cbor.encode_xattrs,xattrs-64,1,7,64,282752,encoded,23876.71875,24633.1484375,25172.609375,25607.75,27102.40625,796.53125,0.03164277640565421,25156.25,39725.71874066989,175508225.39627957,,,1813432.0,4418,64,structured,64,,,,,,1,,
go,chunkers,chunkers.item_chunker,is_boundary/bits-7,1,7,2000,0,,51.398,51.94425,52.706,53.054,53.6675,0.5509999999999948,0.010454217736121025,54.0,18973171.934884075,,,,1813432.0,32,2000,structured,,,,,,,1,,
go,chunkers,chunkers.new_item_chunker,bits-4..12,1,7,2304,0,,13.03732638888889,13.082682291666668,13.09375,13.171875,13.180555555555555,0.056423611111110716,0.004309201803235186,15.625,76372315.03579952,,,,1813432.0,,2304,structured,,,,,,,1,,
go,chunkers,chunkers.split_bytes,compressible/4-16-64KiB,1,7,1024,67108864,payload,55456.9736328125,55817.51953125,56308.587890625,56389.2177734375,56449.833984375,141.24609375,0.0025084289811060333,56568.359375,17759.280377309788,1163872198.8073742,,,1813432.0,67108864,1,text,1024,,,,,,1,,
go,chunkers,chunkers.split_bytes,compressible/default-sizes,1,7,64,67108864,payload,887049.953125,893979.5390625,897013.21875,900141.8515625,921097.953125,3693.453125,0.00411750133420205,904890.625,1114.8107732386748,1168963821.3595166,,,1813432.0,67108864,1,text,64,,,,,,1,,
go,chunkers,chunkers.split_bytes,random/default-sizes,1,7,881,67108864,payload,48693.92622020431,48974.4494892168,49214.239500567535,49644.128830874004,49791.15323496027,364.48581157775334,0.0074061047224665555,49631.1010215664,20319.322418635933,1547794148.4272304,,,1813432.0,67108864,1,random,881,,,,,,1,,
go,chunkers,chunkers.split_bytes,tiny-64KiB/default-sizes,1,7,1,65536,payload,48924.0,49494.5,49905.0,52004.5,53913.0,981.0,0.019657348963029758,57000.0,20038.07233744114,1313215108.7065425,,,1813432.0,65536,1,text,1,,,,,,1,,
go,fstree,fstree.check_complete,incomplete/jobs-1,1,7,1,0,,26230.0,30513.5,32412.0,33544.0,34656.0,2174.0,0.0670739232383068,41000.0,30852.770578797976,,,30852.770578797976,1813432.0,,,structured,16,,,wide,,,1,,
go,fstree,fstree.check_complete,widest/jobs-1,1,7,40257,0,,657.9444071838439,665.2124102640535,668.5220210149788,671.8546091362992,686.7170678391336,4.74267829197413,0.007094273850207047,695.4318503614278,1495837.0383697415,,,1495837.0383697415,1813432.0,,,structured,40000,,40000,wide,,40257,1,,
go,fstree,fstree.check_complete,widest/jobs-N,8,7,40257,0,,344.78187644384826,347.1617979481829,350.6915319074943,357.7521052239362,363.11881163524356,5.411630275480036,0.01543131151768877,849.7900986163897,2851508.830454967,,,2851508.830454967,1813432.0,,,structured,40000,,40000,wide,,40257,8,,
go,fstree,fstree.check_complete,width-16/jobs-1,1,7,17,0,,1335.4705882352941,1468.7058823529412,1547.6470588235295,1832.8823529411766,2024.4117647058824,180.3529411764705,0.11653363740022799,2000.0,646142.1512732801,,,646142.1512732801,1813432.0,,,structured,16,,16,wide,,17,1,width,plain
go,fstree,fstree.check_complete,width-256/jobs-1,1,7,259,0,,715.5366795366796,728.4169884169885,751.5135135135135,756.6196911196911,789.4247104247104,13.926640926640971,0.018531457753208514,818.5328185328185,1330648.0615694455,,,1330648.0615694455,1813432.0,,,structured,256,,256,wide,,259,1,width,plain
go,fstree,fstree.check_complete,width-40000/jobs-1,1,7,40257,0,,665.417964577589,667.747385547855,670.7460069056314,677.7085227413866,686.1757706734232,5.328042328042329,0.0079434573939878,699.0833892242343,1490877.3063194577,,,1490877.3063194577,1813432.0,,,structured,40000,,40000,wide,,40257,1,width,plain
go,fstree,fstree.check_complete,width-4096/jobs-1,1,7,4122,0,,651.7399320718098,659.3842794759826,661.9437166424066,669.781416787967,707.4308588064047,4.666909267345886,0.0070503113029276344,695.536147501213,1510702.4583182458,,,1510702.4583182458,1813432.0,,,structured,4096,,4096,wide,,4122,1,width,plain
