group,scenario,backend,rep,op,counter,value
blob,blob/backup-corpus,amber-go-s3,1,pull_incremental,s3_request_body_bytes,0
blob,blob/backup-corpus,amber-go-s3,1,pull_incremental,s3_requests_GET,11
blob,blob/backup-corpus,amber-go-s3,1,pull_incremental,s3_requests_HEAD,1
blob,blob/backup-corpus,amber-go-s3,1,pull_incremental,s3_requests_total,12
blob,blob/backup-corpus,amber-go-s3,1,pull_incremental,s3_response_body_bytes,3554276
blob,blob/backup-corpus,amber-go-s3,1,pull_incremental,s3_responses_2xx,10
blob,blob/backup-corpus,amber-go-s3,1,pull_incremental,s3_responses_4xx,2
blob,blob/backup-corpus,amber-go-s3,1,pull_incremental,stored_bytes,11956094
blob,blob/backup-corpus,amber-go-s3,1,pull_incremental,stored_objects,10
blob,blob/backup-corpus,amber-go-s3,1,age_sealed_segments,segments_aged,2
blob,blob/backup-corpus,amber-go-s3,1,retention_cleanup,retained_logical_bytes,34257224
blob,blob/backup-corpus,amber-go-s3,1,retention_cleanup,retained_references,1
blob,blob/backup-corpus,amber-go-s3,1,retention_cleanup,s3_bytes_down,10036
blob,blob/backup-corpus,amber-go-s3,1,retention_cleanup,s3_bytes_up,11835395
blob,blob/backup-corpus,amber-go-s3,1,retention_cleanup,s3_connections,15
blob,blob/backup-corpus,amber-go-s3,1,retention_cleanup,s3_request_body_bytes,11822944
blob,blob/backup-corpus,amber-go-s3,1,retention_cleanup,s3_requests_GET,2
blob,blob/backup-corpus,amber-go-s3,1,retention_cleanup,s3_requests_POST,8
blob,blob/backup-corpus,amber-go-s3,1,retention_cleanup,s3_requests_PUT,9
blob,blob/backup-corpus,amber-go-s3,1,retention_cleanup,s3_requests_total,19
blob,blob/backup-corpus,amber-go-s3,1,retention_cleanup,s3_response_body_bytes,7137
blob,blob/backup-corpus,amber-go-s3,1,retention_cleanup,s3_responses_2xx,18
blob,blob/backup-corpus,amber-go-s3,1,retention_cleanup,s3_responses_4xx,1
blob,blob/backup-corpus,amber-go-s3,1,retention_cleanup,stored_bytes,11804175
blob,blob/backup-corpus,amber-go-s3,1,retention_cleanup,stored_objects,10
git,git/history,amber-rust,1,history_store,backend_commands,11
git,git/history,amber-rust,1,history_store,commits,11
git,git/history,amber-rust,1,history_store,store_closures_allocated_bytes,4096
git,git/history,amber-rust,1,history_store,store_closures_apparent_bytes,0
git,git/history,amber-rust,1,history_store,store_packstore_allocated_bytes,2404352
git,git/history,amber-rust,1,history_store,store_packstore_apparent_bytes,2396320
git,git/history,amber-rust,1,history_store,store_refs_allocated_bytes,1634304
git,git/history,amber-rust,1,history_store,store_refs_apparent_bytes,3686400
git,git/history,amber-rust,1,history_store_incremental,backend_commands,4
git,git/history,amber-rust,1,history_store_incremental,commits,4
git,git/history,amber-rust,1,history_store_incremental,store_closures_allocated_bytes,4096
git,git/history,amber-rust,1,history_store_incremental,store_closures_apparent_bytes,0
git,git/history,amber-rust,1,history_store_incremental,store_packstore_allocated_bytes,2420736
git,git/history,amber-rust,1,history_store_incremental,store_packstore_apparent_bytes,2413588
git,git/history,amber-rust,1,history_store_incremental,store_refs_allocated_bytes,1634304
git,git/history,amber-rust,1,history_store_incremental,store_refs_apparent_bytes,3686400
git,git/history,amber-rust,1,list_head,cli_invocations,29
git,git/history,amber-rust,1,list_head,entries,169
git,git/history,amber-rust,1,retained_version_coverage,versions_retained,15
git,git/history,amber-rust,1,retained_version_coverage,versions_unverified,0
git,git/history,amber-rust,1,retained_version_coverage,versions_verified,15
blob,blob/backup-corpus,amber-rust-s3,1,push_initial,s3_bytes_down,1446
blob,blob/backup-corpus,amber-rust-s3,1,push_initial,s3_bytes_up,15453849
blob,blob/backup-corpus,amber-rust-s3,1,push_initial,s3_connections,3
blob,blob/backup-corpus,amber-rust-s3,1,push_initial,s3_request_body_bytes,15450505
blob,blob/backup-corpus,amber-rust-s3,1,push_initial,s3_requests_GET,2
blob,blob/backup-corpus,amber-rust-s3,1,push_initial,s3_requests_PUT,3
blob,blob/backup-corpus,amber-rust-s3,1,push_initial,s3_requests_total,5
blob,blob/backup-corpus,amber-rust-s3,1,push_initial,s3_response_body_bytes,618
blob,blob/backup-corpus,amber-rust-s3,1,push_initial,s3_responses_2xx,4
blob,blob/backup-corpus,amber-rust-s3,1,push_initial,s3_responses_4xx,1
blob,blob/backup-corpus,amber-rust-s3,1,push_initial,stored_bytes,15428920
blob,blob/backup-corpus,amber-rust-s3,1,push_initial,stored_objects,3
blob,blob/backup-corpus,amber-rust-s3,1,push_noop,s3_bytes_down,1777
blob,blob/backup-corpus,amber-rust-s3,1,push_noop,s3_bytes_up,1196
